run_id,task_family,difficulty_band,condition,n,correct,accuracy,ci_lower,ci_upper,truncation_rate,no_answer_rate,classification
20260725T170041Z,arithmetic,hard,visible_cot,10,10,1.0,0.722467,1.0,0.6,0.6,control_sanity_high_accuracy
20260725T170041Z,arithmetic,medium,r1_style_thinking,10,7,0.7,0.396778,0.892209,0.3,0.3,excluded_quality_gate
20260725T170041Z,prompt_grounded_two_hop_factual,easy,visible_cot,10,6,0.6,0.312674,0.83182,0.0,0.0,difficulty_boundary_excluded
20260725T170041Z,prompt_grounded_two_hop_factual,hard,r1_style_thinking,10,7,0.7,0.396778,0.892209,0.0,0.0,selected_headroom
20260725T170041Z,synthetic_relation,easy,r1_style_thinking,10,6,0.6,0.312674,0.83182,0.3,0.0,difficulty_boundary_excluded
20260725T170041Z,synthetic_relation,easy,visible_cot,10,8,0.8,0.490162,0.943318,0.4,0.0,excluded_quality_gate
20260725T170041Z,synthetic_relation,hard,r1_style_thinking,10,7,0.7,0.396778,0.892209,0.0,0.1,selected_headroom
20260725T170041Z,synthetic_relation,medium,r1_style_thinking,10,5,0.5,0.236593,0.763407,0.1,0.0,difficulty_boundary_excluded
20260725T170041Z,synthetic_relation,medium,visible_cot,10,9,0.9,0.59585,0.982124,0.4,0.1,excluded_quality_gate
20260725T170041Z,wrong_cot_error_detection,medium,r1_style_thinking,10,3,0.3,0.107791,0.603222,0.0,0.3,difficulty_boundary_excluded
