run_id,series,x,y,y_lower,y_upper,n,annotation
20260725T170041Z,visible_cot,arithmetic|hard,1.0,0.722467,1.0,10,control_sanity_high_accuracy
20260725T170041Z,r1_style_thinking,arithmetic|medium,0.7,0.396778,0.892209,10,excluded_quality_gate
20260725T170041Z,visible_cot,prompt_grounded_two_hop_factual|easy,0.6,0.312674,0.83182,10,difficulty_boundary_excluded
20260725T170041Z,r1_style_thinking,prompt_grounded_two_hop_factual|hard,0.7,0.396778,0.892209,10,selected_headroom
20260725T170041Z,r1_style_thinking,synthetic_relation|easy,0.6,0.312674,0.83182,10,difficulty_boundary_excluded
20260725T170041Z,visible_cot,synthetic_relation|easy,0.8,0.490162,0.943318,10,excluded_quality_gate
20260725T170041Z,r1_style_thinking,synthetic_relation|hard,0.7,0.396778,0.892209,10,selected_headroom
20260725T170041Z,r1_style_thinking,synthetic_relation|medium,0.5,0.236593,0.763407,10,difficulty_boundary_excluded
20260725T170041Z,visible_cot,synthetic_relation|medium,0.9,0.59585,0.982124,10,excluded_quality_gate
20260725T170041Z,r1_style_thinking,wrong_cot_error_detection|medium,0.3,0.107791,0.603222,10,difficulty_boundary_excluded
