run_id,condition,stratum,n,parser_v2_typed_agreement,parser_v3_typed_agreement,parser_v3_field_exact
phase1-parser-v3-track-c-20260725T114448Z,public_development_60,S01,5,5,5,5
phase1-parser-v3-track-c-20260725T114448Z,adversarial_development_65,S01,10,5,10,10
phase1-parser-v3-track-c-20260725T114448Z,public_development_60,S02,5,5,5,5
phase1-parser-v3-track-c-20260725T114448Z,adversarial_development_65,S02,9,2,9,9
phase1-parser-v3-track-c-20260725T114448Z,public_development_60,S03,5,5,5,5
phase1-parser-v3-track-c-20260725T114448Z,adversarial_development_65,S03,1,1,1,1
phase1-parser-v3-track-c-20260725T114448Z,public_development_60,S04,5,5,5,5
phase1-parser-v3-track-c-20260725T114448Z,adversarial_development_65,S04,2,2,2,2
phase1-parser-v3-track-c-20260725T114448Z,public_development_60,S05,5,5,5,5
phase1-parser-v3-track-c-20260725T114448Z,adversarial_development_65,S05,7,7,7,7
phase1-parser-v3-track-c-20260725T114448Z,public_development_60,S06,5,5,5,5
phase1-parser-v3-track-c-20260725T114448Z,adversarial_development_65,S06,4,4,4,4
phase1-parser-v3-track-c-20260725T114448Z,public_development_60,S07,5,5,5,5
phase1-parser-v3-track-c-20260725T114448Z,adversarial_development_65,S07,5,5,5,5
phase1-parser-v3-track-c-20260725T114448Z,public_development_60,S08,5,5,5,5
phase1-parser-v3-track-c-20260725T114448Z,adversarial_development_65,S08,2,2,2,2
phase1-parser-v3-track-c-20260725T114448Z,public_development_60,S09,5,5,5,5
phase1-parser-v3-track-c-20260725T114448Z,adversarial_development_65,S09,2,2,2,2
phase1-parser-v3-track-c-20260725T114448Z,public_development_60,S10,5,5,5,5
phase1-parser-v3-track-c-20260725T114448Z,adversarial_development_65,S10,8,8,8,8
phase1-parser-v3-track-c-20260725T114448Z,public_development_60,S11,5,5,5,5
phase1-parser-v3-track-c-20260725T114448Z,adversarial_development_65,S11,2,2,2,2
phase1-parser-v3-track-c-20260725T114448Z,public_development_60,S12,5,5,5,5
phase1-parser-v3-track-c-20260725T114448Z,adversarial_development_65,S12,13,10,13,13
