layer,kappa_A,kappa_B,kappa_null,kappa_logitlens
0,1.042802,1.029129,0.483024,0.636524
1,0.987678,0.960502,0.485245,0.646403
2,0.974826,0.944336,0.492091,0.609803
3,0.958316,0.936821,0.494875,0.597913
4,0.942886,0.916397,0.500935,0.597030
5,0.863933,0.844373,0.491302,0.591304
6,0.889108,0.872758,0.496134,0.587681
7,0.851370,0.841201,0.486234,0.594237
8,0.826938,0.817575,0.512161,0.592837
9,0.855541,0.851758,0.482783,0.601773
10,0.869196,0.864411,0.491708,0.607891
11,0.816978,0.813699,0.479485,0.601526
12,0.779879,0.778476,0.480820,0.597388
13,0.779714,0.780936,0.489615,0.595289
14,0.775520,0.776789,0.478665,0.604763
15,0.752414,0.757126,0.494293,0.603559
16,0.768021,0.772962,0.492434,0.597512
17,0.801695,0.807738,0.485899,0.600044
18,0.812441,0.818518,0.503249,0.600837
19,0.784109,0.789286,0.489238,0.599320
20,0.788677,0.795297,0.472764,0.584036
21,0.808010,0.813634,0.492057,0.591291
22,0.871521,0.876108,0.506969,0.564138
23,0.959690,0.963669,0.475954,0.554801
24,1.001943,1.006561,0.488300,0.535216
25,1.025712,1.031658,0.489492,0.576328
26,0.990047,0.995487,0.499223,0.607276
