layer,positive,negative,depth
0,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.001099
6,0.000000,0.000000,0.001099
7,0.000000,0.001114,0.002198
8,0.000000,0.001114,0.002198
9,0.000000,0.007795,0.004396
10,0.000000,0.002227,0.003297
11,0.000000,,0.004396
12,0.000000,,0.004396
13,0.001099,,0.006593
14,0.002198,,0.005495
15,0.002198,,0.001099
16,0.001099,,0.005495
17,0.000000,,0.001099
18,0.001099,,0.007692
19,0.002198,,0.003297
20,0.004396,,0.014286
21,0.013187,,0.041758
22,0.031868,,0.064835
23,0.079121,,0.070330
24,0.083516,,0.075824
25,0.084615,,0.059341
26,0.031868,,0.028571
